Actor,AVG
Jenna Fischer,16768837
Eddie Redmayne,16795890
Oliver Reed,16800000
Frances Conroy,16900176.33
Woody Strode,17000000
Jamie Kennedy,17010646
Shengyi Huang,17104669
Amanda Schull,17174870
Ashley Rickards,17314483
Samaire Armstrong,17324744
Armando Riesco,17444985
Mako,17450000
Joseph Cotten,17450000
Bob Neill,17473245
Kimberly Elise,17474107
Michael Moore,17493931.33
Brian Dennehy,17500246.5
Phil Davis,17508670
Kathleen Turner,17511647
Christopher Nicholas Smith,17536788
Warren Christie,17683670
Michiel Huisman,17755910.67
Jason London,17757087
Stephen Collins,17843379
Stephen Rea,17888822.5
Frank Langella,17911482.5
Omari Hardwick,18053622.25
Farrah Fawcett,18270056
Christopher Lambert,18274161
Grace Phipps,18298649
Tim Meadows,18317151
Liam Aiken,18357781.75
Li Gong,18376639.2
Luke Newberry,18381787
John Gatins,18438149
Geoffrey Arend,18488314
Natasha Lyonne,18573019.6
Hunter Parrish,18575164
Tammin Sursok,18595716
Robert Clohessy,18600911
Ben Feldman,18722545
Roxanne McKee,18821279
Kelly Carlson,18843314
Chris Zylka,18860403
Jordi Mollà,18867123
Donald Pleasence,18925196.33
David Gant,18947630
Caitlin Stasey,19059018
Lew Temple,19067631
Betsy Palmer,19100000
Christina Milian,19118247
Chris Moss,19179969
Nancy O'Dell,19184015
Drake Bell,19280936
William Schallert,19281235
Amanda Detmer,19351569
Pedro Armendáriz Jr.,19406406
Archie Panjabi,19434002.5
Alden Ehrenreich,19445217
Olivia Wilde,19545367.17
Fergie,19673424
Alona Tal,19692608
Donald Faison,19828306.25
Jordana Brewster,20080874
Ted Danson,20113965
Ben Gazzara,20125014
Zooey Deschanel,20204898
Ivana Milicevic,20240317.67
Sheryl Lee,20241395
Laura Harring,20267208.5
Bobbie Phillips,20302961
Ethan Suplee,20319681
Wendi McLendon-Covey,20339754
Tony Nappo,20433940
Hector Elizondo,20501467.67
James Corden,20573531
Kevin McNally,20654854.5
America Ferrera,20692095.75
John Beasley,20733485
Benjamin A. Onyango,20773070
Tom Skerritt,20786744
Jeff Kober,20801344
Erick Avari,20819129
Paddy Considine,20880857.33
Bolo Yeung,20954418
Mitch Pileggi,20981633
T.I.,21160089
Minnie Driver,21194019.57
Tiffany Helm,21300000
Essence Atkins,21317245.5
Steven Bauer,21370057
David Zayas,21371425
Elisabeth Harnois,21379315
Leslie Bibb,21515837
Cedric the Entertainer,21615203.5
David Oyelowo,21624345.5
Ari Graynor,21706883
Aimee Garcia,21835784
Julian Sands,21841327.8
Henry Ian Cusick,21877807.5
Lisa Wilcox,22168359
Isaac Hayes,22201636
Margaret Hamilton,22202612
Bruce Greenwood,22230280.18
Vincent Pastore,22286837
Scout Taylor-Compton,22302386.67
Gary Weeks,22331028
Oliver Hudson,22385530.5
Kelsey Grammer,22452209
Rainn Wilson,22526144
Carmen Electra,22652326.67
Bob Hoskins,22677661.25
Norman Reedus,22678791.8
Kevin Grevioux,22734486
Pfeifer Brown,22757819
Emma Bell,22765378.5
Telly Savalas,22800000
Nate Parker,22842316.5
Stephen Root,23046491.2
Sasha Roiz,23219748
Kasia Smutniak,23324666
Bill Bailey,23618786
Myrna Loy,23650000
Julie Benz,23801872
Billy West,23808111
Dominic Cooper,23817977.67
Andrew Fiscella,23840343.5
Seymour Cassel,23906206.5
Collette Wolfe,23993605
Sonia Braga,24044532
Frank Whaley,24276500
Connie Ray,24381334
Judith Chapman,24430272
Yaphet Kotto,24511514.33
Demián Bichir,24530934.5
Scott Porter,24567342
Zoë Kravitz,24723855
Jimmy Fallon,24727031
Robert Shaw,24800000
Christine Taylor,24881000
Shannon Elizabeth,24907200
Kirsten Dunst,24987686.8
Nehemiah Persoff,25000000
Abbie Cornish,25034383
William Smith,25049457.67
Kevin Sussman,25077977
Malese Jow,25200412
Radha Mitchell,25236393.17
Lexie Contursi,25240988
Charlize Theron,25249668.5
Topher Grace,25296440.67
Ellar Coltrane,25359200
Emma Watson,25436742
Elina Alminas,25440971
Dougray Scott,25472967
Mike Epps,25482931
Eric Idle,25521189.5
Phil Vischer,25571351
Kay Panabaker,25584685
Jere Burns,25590119
Harry Lennix,25612648
Kristin Scott Thomas,25784500.75
Luke Bracey,25873075.5
James Kyson,25926543
Dane Cook,25941055.25
Mackenzie Davis,26049082
Toby Jones,26077569.67
Sunny Mabrey,26082914
Jennifer Esposito,26095415.5
Elden Henson,26096584
Sierra McCormick,26161406
LL Cool J,26250871
Victor Wong,26254405
Charlie McDermott,26361230
Richard Wilson,26400000
Kim Director,26421314
Connie Nielsen,26507744.5
Warren Beatty,26525834
Eoin Macken,26583369
J.D. Evermore,26616999
Dylan Baker,26667765.33
Johnny Lewis,26876529
Leighton Meester,26899443.67
Hulk Hogan,26906039
John Amos,27050915.33
William Holden,27200000
Brendan Fraser,27252493.33
Esai Morales,27260243
Steven Mackintosh,27281507
Sterling Jerins,27285953
Alexa PenaVega,27306596
Mo'Nique,27376987.38
Matt Walsh,27504479.5
Janet Jackson,27515786
Ruby Dee,27545445
Michael Raymond-James,27550735
Rufus Sewell,27619222.33
Julia Ormond,27627818
Harold Perrineau,27665329.5
James Lafferty,27689474
Laila Haley,27736779
Dave Chappelle,27754707.5
Caroline Dhavernas,27758465
Ken Arnold,28064226
Heather Locklear,28083699
Jeremy Irvine,28168265.33
Tony Goldwyn,28305109
Steve Irwin,28399192
Michael Fassbender,28492943.4
Jenny Agutter,28501605
Jeffrey Jones,28647154
Patton Oswalt,28742367
Mike Starr,28794426.33
Adam Baldwin,28864331.25
Harry Styles,28873374
Samira Wiley,28876924
Illeana Douglas,28933498
Daniel Mays,28995450
Sela Ward,29062561
Sissy Spacek,29079163.25
Josh Wingate,29136626
Keisha Castle-Hughes,29195371.5
Vivica A. Fox,29210754.75
Adam Scott,29218302.88
Omar Epps,29221439.6
Ryan Gosling,29262506.35
Jay Hernandez,29362975.6
Rosie Perez,29781453
Michael Wincott,29781842
Charlie Hunnam,29833386
Joaquim de Almeida,29949498
Jay Laga'aia,29975979
Clu Gulager,30000000
Fanny Ardant,30012990
Adam Garcia,30034810.67
Isaiah Washington,30079316
Cheryl Hines,30105968
Jessie T. Usher,30127963
Shelley Conn,30212620
Christian Monzon,30222640
Aaliyah,30307804
Cicely Tyson,30360268.5
Gary Dourdan,30386080.33
Austin Pendleton,30400000
Milla Jovovich,30454971
Mark Gatiss,30494221.5
Blanchard Ryan,30500882
Tika Sumpter,30513940
Matthew Perry,30541388.33
Rosario Dawson,30546091.83
Jack Reynor,30659817
Corbin Bernsen,30797537.5
Daniel Roebuck,30957723
50 Cent,30981850
Noah Bean,30993544
Beverly D'Angelo,31118320.5
Augustus Prew,31136950
Robert Baker,31199215
Logan Lerman,31255322.71
Brandon T. Jackson,31310287.5
Gerry Bednob,31452765
Christian Clemenson,31471430
Shelley Hennig,31537320
Jack Davenport,31585300
Madeline Carroll,31676731.4
Kath Soucie,31812023.5
Angie Dickinson,31899000
Nat Wolff,31990064
Janet Leigh,32000000
Richard Burgi,32003620
Marisa Saks,32014289
Gunnar Hansen,32017418.67
Robert Ri'chard,32048809
William McNamara,32051917
Jeff Fahey,32101000
Sullivan Stapleton,32131483
David Jason Perez,32230907
Françoise Yip,32333860
Jon Lovitz,32346196
Alexis Arquette,32368960
Michael Imperioli,32412527
Steve Guttenberg,32433333.33
Richard Cabral,32453345
Emilia Fox,32519322
David Hyde Pierce,32530215
Lily Atkinson,32553210
Pamela Reed,32598931
Judie Aronson,32600000
Jeremy Shada,32774834
Kyra Sedgwick,32795497
Mark Margolis,32919279
Jim Belushi,32955891
Tina Desai,33071558
Scoot McNairy,33119652.5
Mathieu Kassovitz,33201661
Michael Jai White,33203335.43
Catherine Hicks,33244684
Melina Kanakaredes,33328051
Barack Obama,33349949
Kirk Cameron,33451479
Linda Cardellini,33803919
John Kapelos,33927476
Patrick Macnee,34143000
Michael Kelly,34359332.25
Judith Barsi,34427929.5
Leonard Roberts,34456150
Eddie Marsan,34462833
Ben Davies,34522221
Matt Price,34580635
Robert Davi,34667015
James Franco,34967828.85
Zachary Gordon,35071150.33
Nicki Aycox,35143332
Bono,35173225
Ryan Guzman,35221446
Debra Messing,35228696
Michael Biehn,35255926.78
Jon Seda,35422828
Miriam Margolyes,35460015
Violante Placido,35596227
Nathan Lane,35613732
Andrew Garfield,35673133.33
Matt Bomer,35774348.5
Lauren Cohan,35794166
Noah Taylor,35811509
Dennis Quaid,35846513.31
Jason Flemyng,35854408.5
Jason Patric,35904827.67
Brian Thompson,35927406
Dianne Wiest,35946671.43
Kate Winslet,35950842
Boris Kodjoe,35992406
Richard Burton,36000000
Gloria Grahame,36000000
Denis O'Hare,36020063
Adam Arkin,36037909
Frank Grillo,36040036.67
Charlie Rowe,36073232
Hope Davis,36083519.5
Tina Turner,36200000
