Director,Avg,Gross
Gus Van Sant,36762906.57,257340346
Kevin Costner,86710306.33,260130919
Larry Charles,52328960.6,261644803
George Roy Hill,130954450,261908900
Olivier Megaton,88590721.67,265772165
John Glen,53270582.4,266352912
Dan Scanlon,268488329,268488329
Penny Marshall,69135334,276541336
Joe Wright,34863775.5,278910204
Randall Wallace,71534831.75,286139327
Alejandro G. Iñárritu,47834310.5,287005863
Danny Boyle,31895218.11,287056963
Tom Hooper,96006786.67,288020360
Lee Tamahori,57895929.6,289479648
Joel Zwick,144775991.5,289551983
Steve Martino,145746160,291492320
Steve Carr,73773803.25,295095213
Alan Taylor,148046026.5,296092053
John G. Avildsen,99611749,298835247
Matt Reeves,100237505.7,300712517
Brad Peyton,100856563,302569689
Ben Stiller,60560021.8,302800109
Woody Allen,16228707.53,308345443
Richard Marquand,309125409,309125409
Jonathan Demme,61927891.4,309639457
David Zucker,62037132,310185660
Adrian Lyne,77758253,311033012
Andrew Davis,77950090.75,311800363
Jerry Zucker,103946321.3,311838964
Joe Dante,52007440.17,312044641
Scott Derrickson,62476106.4,312380532
Lasse Hallström,39146940,313175520
John Carpenter,24256441.92,315333745
Jonathan Mostow,79026956.5,316107826
D.J. Caruso,63396341.4,316981707
Genndy Tartakovsky,159002810,318005620
Alex Proyas,64183055.6,320915278
Martin Brest,80860131.25,323440525
Yarrow Cheney,323505540,323505540
Walt Becker,81144444,324577776
Spike Lee,21900028.47,328500427
John Landis,82202500,328810000
Paul Weitz,55768137.83,334608827
Kyle Balda,336029560,336029560
David Ayer,48361246.29,338528724
David Frankel,84656146,338624584
Donald Petrie,42597837.88,340782703
David Slade,113700023.7,341100071
James Gunn,113742527.7,341227583
Seth MacFarlane,114167288.3,342501865
Kevin Reynolds,69030827.8,345154139
Irvin Kershner,172829375.5,345658751
Frank Oz,44032714.75,352261718
Leonard Nimoy,117964697.3,353894092
Guillermo del Toro,71168710.2,355843551
Jeff Tremaine,89056631.25,356226525
Nicholas Stoller,71558718,357793590
Ron Clements,119948293.3,359844880
Jon M. Chu,72118004,360590020
Christopher McQuarrie,90279004,361116016
Tim Miller,363024263,363024263
Michael Mann,60622630,363735780
Andy Fickman,60905622,365433732
Seth Gordon,124039956,372119868
Michael Apted,62283244.33,373699466
Anne Fletcher,75526093,377630465
Peter Weir,95222465.5,380889862
Chuck Russell,77135179.6,385675898
Tim Hill,77469214.6,387346073
Stephen Sommers,96856318.25,387425273
Paul Verhoeven,65239433.33,391436600
Mark Waters,65721264.17,394327585
Ethan Coen,56819679.57,397737757
Jaume Collet-Serra,50000031,400000248
Chris Buck,400736600,400736600
Rob Letterman,100287966.8,401151867
Justin Lin,81324159,406620795
Robert Luketic,68662076.5,411972459
Chris Wedge,137367571.3,412102714
Harold Ramis,51530296.75,412242374
Shane Black,206614054.5,413228109
Paul W.S. Anderson,41343224.1,413432241
John Singleton,59102062,413714434
Brian Levant,69006493.67,414038962
Lee Unkrich,414984497,414984497
Rob Minkoff,83423053.4,417115267
Edward Zwick,52609260.5,420874084
Jason Reitman,70875635.17,425253811
Cameron Crowe,61600190,431201330
Joseph Kosinski,144375103,433125309
Betty Thomas,108477742.5,433910970
Baz Luhrmann,88580470.2,442902351
John Lee Hancock,91931980.4,459659902
Peyton Reed,116227128.5,464908514
Antoine Fuqua,58203779.25,465630234
Chris Miller,234970706,469941412
Robert Schwentke,78844291.33,473065748
Chris Weitz,94640075.6,473200378
Catherine Hardwicke,67682916.71,473780417
George Miller,79855941.83,479135651
McG,80048424.5,480290547
Joe Johnston,121756789.3,487027157
Judd Apatow,97464707.6,487323538
John Woo,82233506,493401036
Simon West,71011965.86,497083761
Marc Webb,165758656.7,497275970
Brian De Palma,50084026.7,500840267
Mike Mitchell,125237609.3,500950437
Rawson Marshall Thurber,126276498,505105992
Roger Allers,253543667.5,507087335
Marc Forster,72874695.86,510122871
Guy Ritchie,63926817.25,511414538
Tyler Perry,56839458,511555122
Frank Coraci,74109629.57,518767407
Doug Liman,74148718.14,519041027
Phillip Noyce,57776561.78,519989056
David O. Russell,74364250.14,520549751
Peter Berg,87173364.5,523040187
Renny Harlin,34931729.8,523975947
Adam McKay,87408281.83,524449691
Sydney Pollack,105243736.8,526218684
Ang Lee,65850588.5,526804708
Wes Craven,44089982.92,529079795
F. Gary Gray,66365476.13,530923809
Ivan Reitman,66857365,534858920
Dean DeBlois,180052210.3,540156631
Rob Reiner,49727030.27,546997333
Andy Tennant,91171529.67,547029178
Gary Ross,182845555.7,548536667
Mike Newell,78870397,552092779
James Mangold,69298843.5,554390748
Nancy Meyers,111719830,558599150
Francis Ford Coppola,62095597.44,558860377
Jan de Bont,113569517.8,567847589
Alfonso Cuarón,143088109.8,572352439
Jon Turteltaub,82476454.29,577335180
Paul Feig,116300359.8,581501799
Tim Story,98116871.67,588701230
Robert Rodriguez,45406442.38,590283751
John McTiernan,60615383.8,606153838
Rob Marshall,123286001.2,616430006
Pierre Coffin,309775640,619551280
Jonathan Liebesman,103429642.7,620577856
Barry Levinson,47977634.31,623709246
Quentin Tarantino,78017449.25,624139594
Bobby Farrelly,62790962.2,627909622
Wolfgang Petersen,104729952.7,628379716
Peter Segal,90817089.14,635719624
Richard Donner,70712991.89,636416927
Colin Trevorrow,328092531.5,656185063
Raja Gosnell,110527036.7,663162220
Carlos Saldanha,166764467.8,667057871
Louis Leterrier,95930635.86,671514451
Kenneth Branagh,84425216.88,675401735
Andrew Stanton,225901479.3,677704438
Oliver Stone,52291747.15,679792713
Paul Greengrass,98010408.57,686072860
Tim Johnson,171762591.3,687050365
Lana Wachowski,114539781.8,687238691
Adam Shankman,87133981.88,697071855
Bill Condon,117965839.2,707795035
Phil Lord,178172594.3,712690377
Anthony Russo,185720634,742882536
J.J. Abrams,186704452.3,746817809
Garry Marshall,94417048.25,755336386
Eric Darnell,152696378.8,763481894
Joel Schumacher,60861436,791198668
James Wan,113139457.7,791976204
Brad Bird,158763032.4,793815162
Martin Campbell,90284627.44,812561647
David Yates,210515341,842061364
Dennis Dugan,94664663.56,851981972
David Fincher,86390452.4,863904524
Todd Phillips,125908004.3,881356030
Tony Scott,73496139.42,881953673
Rob Cohen,80825554.27,889081097
Tom Shadyac,127191395.4,890339768
Martin Scorsese,51127062.67,920287128
Barry Sonnenfeld,132310602,926174214
Pete Docter,313113780.3,939341341
Roland Emmerich,119046932.8,952375462
John Lasseter,207183190.6,1035915953
Steven Soderbergh,65670602.25,1050729636
Brett Ratner,106199815.1,1061998151
Jay Roach,135813082.9,1086504663
M. Night Shyamalan,121621863.1,1094596768
Bryan Singer,141592451.8,1132739614
Sam Mendes,142232953.3,1137863626
Zack Snyder,143649106.5,1149192852
Andrew Adamson,229988557,1149942785
Shawn Levy,98130188.58,1177562263
Gore Verbinski,189942999.3,1329600995
Ridley Scott,78692452.24,1337771688
Francis Lawrence,271700394.2,1358501971
Ron Howard,104837830.8,1362891801
Clint Eastwood,72543215.79,1378321100
Jon Favreau,223197363.9,1562381547
Chris Columbus,147155238.5,1618707624
Robert Zemeckis,124562239.1,1619309108
Joss Whedon,432721657,1730886628
George Lucas,348283696,1741418480
Christopher Nolan,226653447,1813227576
James Cameron,278303701.4,1948125910
Sam Raimi,170795766.5,2049549198
Tim Burton,129454717.5,2071275480
Michael Bay,171634041.3,2231242537
Peter Jackson,216080773.3,2592969279
Steven Spielberg,164569324,4114233101
