Director,Avg,Gross
Jim Jarmusch,3300230,3300230
John Putch,3333823,3333823
Russell Holt,3347439,3347439
Drake Doremus,3388210,3388210
Denys Arcand,3432342,3432342
Duke Johnson,3442820,3442820
Maggie Carey,3447339,3447339
Jeremy Saulnier,1738571,3477142
Mike Marvin,3500000,3500000
Katja von Garnier,3525161,3525161
Richard Kwietniowski,1776659,3553318
Tom Schulman,3559990,3559990
Stacy Peralta,1784831.5,3569663
Floria Sigismondi,3571735,3571735
Michael Cuesta,1793737.5,3587475
Max Joseph,3590010,3590010
Christophe Barratier,3629758,3629758
Rick de Oliveira,3713002,3713002
Jill Sprecher,1865894.5,3731789
Michael Haneke,1247554.667,3742664
Mabrouk El Mechri,3749061,3749061
Deepa Mehta,1875914.5,3751829
Michael Radford,3752725,3752725
Laurent Cantet,3766595,3766595
Brian Baugh,3773863,3773863
Ayan Mukerji,3827466,3827466
Miranda July,3885134,3885134
Anthony Hickox,3902679,3902679
Whit Stillman,1972871.5,3945743
Xavier Beauvois,3950029,3950029
Jon Poll,3950294,3950294
Sam Firstenberg,4000000,4000000
Rodman Flender,4002955,4002955
Jeffrey W. Byrd,4006906,4006906
Wolfgang Becker,4063859,4063859
Philip Saville,4068087,4068087
Ronan Chapalain,4074023,4074023
Chan-wook Park,1365078,4095234
Gareth Evans,4105123,4105123
Rodrigo García,2062413.5,4124827
Charles Robert Carner,4131640,4131640
Peter M. Cohen,4142507,4142507
Damien O'Donnell,4170647,4170647
Russell Crowe,4190530,4190530
Adam Rifkin,4193025,4193025
Jean-Paul Rappeneau,2115453.5,4230907
Ritesh Batra,4231500,4231500
Marc Abraham,4234040,4234040
Paul Gross,4239767,4239767
Steven Shainberg,2133825.5,4267651
Vondie Curtis-Hall,4273372,4273372
Scott Marshall,2166927.5,4333855
Hart Bochner,4350774,4350774
Eric Bross,4356743,4356743
Randall Miller,2187123,4374246
Mark Tarlov,4394936,4394936
Robert Kenner,4417124,4417124
Jonathan Teplitzky,4435083,4435083
Vincent Paronnaud,4443403,4443403
Allison Anders,2239585.5,4479171
Zach Cregger,4542775,4542775
Tim Hunter,4600000,4600000
Deb Hagan,4693919,4693919
Mitch Davis,4720371,4720371
Bruce Paltrow,4734235,4734235
Dewey Nicks,4814244,4814244
Pawel Pawlikowski,2409346.5,4818693
Laurence Dunmore,4829497,4829497
Jez Butterworth,4919896,4919896
Todd Lincoln,4930798,4930798
Morgan Neville,4946250,4946250
Peter Kassovitz,4956401,4956401
Olivier Assayas,2496691.5,4993383
Eugène Lourié,5000000,5000000
Blake Edwards,5000000,5000000
Blair Hayes,5002310,5002310
Luca Guadagnino,5004648,5004648
Fina Torres,5018450,5018450
Tony Richardson,5100000,5100000
Robert Townsend,5228617,5228617
Craig Johnson,5283379,5283379
Hal Needham,5333658,5333658
Dan Fogelman,5348317,5348317
John Michael McDonagh,5359774,5359774
Tony Maylam,5430822,5430822
Bob Odenkirk,2757370.5,5514741
Matt Maiellaro,5518918,5518918
Cédric Klapisch,2774068,5548136
Jean-Marie Poiré,1874359.667,5623079
Marcos Siega,5654777,5654777
Sngmoo Lee,5664251,5664251
Dean Wright,5669081,5669081
Carlos Carrera,5709616,5709616
Charles Ferguson,1923750.667,5771252
Patricia Cardoso,5844929,5844929
Craig Bolotin,5871603,5871603
Charles S. Dutton,5881504,5881504
Matt Piedmont,5895238,5895238
Doug Lefler,5932060,5932060
Yash Chopra,2984638.5,5969277
Brian Trenchard-Smith,2987687,5975374
Ben Lewin,5997134,5997134
Matthew Robbins,6000000,6000000
Dave Meyers,6026908,6026908
Scott Kalvert,6044618,6044618
David Schwimmer,3028592.5,6057185
Nicholaus Goossen,6088249,6088249
Linda Mendoza,6126237,6126237
Jay Levey,6157157,6157157
Caroline Link,6173485,6173485
Émile Gaudreault,6239558,6239558
John Maybury,6301131,6301131
Anna Boden,6350058,6350058
Vicky Jenson,6373693,6373693
Anne Fontaine,3213100,6426200
Shari Springer Berman,3228333,6456666
Cyrus Nowrasteh,6462576,6462576
Kevin Spacey,3235557,6471114
Timothy Björklund,6491350,6491350
S.S. Rajamouli,6498000,6498000
Joshua Marston,6517198,6517198
Debra Granik,6531491,6531491
Jeb Stuart,3282467,6564934
Lorene Scafaria,6619173,6619173
Raymond De Felitta,6670712,6670712
Chris Eyre,6719300,6719300
Tony Kaye,3368024,6736048
J.S. Cardone,6755271,6755271
Joon-ho Bong,3382220.5,6764441
Marcus Dunstan,6842058,6842058
Risa Bramon Garcia,6851636,6851636
James Ponsoldt,6851969,6851969
Stuart Gordon,3435379,6870758
Roger Avary,3472357.5,6944715
Scott Alexander,6982680,6982680
Sylvain Chomet,7002255,7002255
Michael Dowse,3522255.5,7044511
Nnegest Likké,7059537,7059537
Ian Iqbal Rashid,7070459,7070459
Asghar Farhadi,7098492,7098492
Mike Mills,3550693.5,7101387
Werner Herzog,3591165.5,7182331
John Cameron Mitchell,2411756,7235268
Lars von Trier,2420522,7261566
Don Coscarelli,7282851,7282851
Karan Johar,3647069,7294138
Kevin Tenney,7369373,7369373
Dave Borthwick,7382993,7382993
Steve Boyum,3705141,7410282
Tommy Lee Jones,3726079,7452158
Menno Meyjes,7486906,7486906
Richard J. Lewis,7501404,7501404
Jean-Jacques Mantello,7518876,7518876
James Melkonian,7557877,7557877
Jeff Lowell,7563670,7563670
Michael Corrente,3845297.5,7690595
Gilles Paquet-Brenner,7691700,7691700
Lauren Lazin,7707563,7707563
Kar-Wai Wong,2574131.667,7722395
István Szabó,7739049,7739049
Jason Bateman,7764027,7764027
Christopher Leitch,7888703,7888703
Nicholas Jarecki,7918283,7918283
Larry Clark,3963651,7927302
Lexi Alexander,7948159,7948159
William A. Fraker,8000000,8000000
George Stevens,8000000,8000000
George Sidney,8000000,8000000
Marilyn Agrelo,8044906,8044906
Todd Solondz,2683273.667,8049821
Wil Shriner,8080116,8080116
Darnell Martin,8134217,8134217
Steve James,4181400.5,8362801
Jorma Taccone,8460995,8460995
Jeff Kanew,8508843,8508843
Mort Nathan,8586376,8586376
Brian Dannelly,8786715,8786715
Patrick Stettner,4427078.5,8854157
Benson Lee,8888355,8888355
Julian Schnabel,4476033,8952066
Russ Meyer,9000000,9000000
Duncan Tucker,9013113,9013113
Tina Gordon Chism,9123834,9123834
Tom Ford,9166863,9166863
Aaron Schneider,9176553,9176553
Kenneth Lonergan,4613385,9226770
John Waters,3112934,9338802
Josh Schwartz,9402410,9402410
François Girard,9473382,9473382
Jerry Jameson,4778834,9557668
Elia Kazan,9600000,9600000
Mamoru Hosoda,9628751,9628751
John Curran,4921857,9843714
Bob Saget,9975684,9975684
Benny Boom,10017041,10017041
Takao Okawara,10037390,10037390
Victor Nunez,5028086.5,10056173
Hark Tsui,10076136,10076136
Jonathan Kaplan,10114315,10114315
Mike Disa,10134754,10134754
Louis Morneau,10149779,10149779
Wallace Wolodarsky,10198766,10198766
Troy Duffy,10269307,10269307
Michael Martin,10305534,10305534
Catherine Owens,10353690,10353690
Mic Rodgers,10431220,10431220
Mark Piznarski,10494147,10494147
Damon Santostefano,10544143,10544143
Michael Patrick Jann,10561238,10561238
Bill Duke,10572742,10572742
Fred Dekker,10696210,10696210
Costa-Gavras,5415247.5,10830495
Niels Arden Oplev,10880926,10880926
William Arntz,10941801,10941801
Jon Kasdan,11043445,11043445
Daisy von Scherler Mayer,5530576,11061152
Hyung-rae Shim,5559985,11119970
Steve Gomer,11144518,11144518
Emilio Estevez,11204499,11204499
Uwe Boll,3739257.333,11217772
Hugh Johnson,11227940,11227940
Anand Tucker,3788462,11365386
Brian Klugman,11434867,11434867
Robert Butler,11466088,11466088
Roland Joffé,5734196,11468392
Fred Durst,11508423,11508423
Lance Rivera,11540112,11540112
Chia-Liang Liu,11546543,11546543
Chris Roberts,11576087,11576087
Matty Rich,5796499,11592998
Albert Brooks,11614236,11614236
Gary Halvorson,11634458,11634458
Michael Winterbottom,1940040.167,11640241
Dominique Othenin-Girard,11642254,11642254
Jim Hanon,11703287,11703287
Charles T. Kanganis,11784000,11784000
Rusty Cundieff,11797927,11797927
Newt Arnold,11806119,11806119
Daniel Taplitz,11827301,11827301
Prachya Pinkaew,11905519,11905519
Stewart Hendler,11956207,11956207
Jay Duplass,3008021.25,12032085
Christine Jeffs,12055108,12055108
Tamara Jenkins,6045322,12090644
Douglas McGrath,4033164.667,12099494
Jee-woon Kim,6077578,12155156
Steve Carver,12200000,12200000
Theodore Witcher,12514138,12514138
David Mamet,6272423.5,12544847
Bryan Barber,12549485,12549485
Robert Marcarelli,12610552,12610552
James Isaac,12610731,12610731
Sammo Kam-Bo Hung,12674183,12674183
Jerry Zaks,12782508,12782508
Benh Zeitlin,12784397,12784397
Douglas Aarniokoski,12801190,12801190
Pedro Almodóvar,12899702,12899702
Fred Walton,12947763,12947763
Michael Dinner,13019253,13019253
Drew Barrymore,13034417,13034417
Tony Bill,13082288,13082288
Damien Chazelle,13092000,13092000
François Ozon,6590965,13181930
Steve Rash,6596407,13192814
Fred Savage,13235267,13235267
Jon Gunn,4414159,13242477
Michael Wadleigh,13300000,13300000
Vadim Perelman,6654462,13308924
Mickey Liddell,13350177,13350177
Ulu Grosbard,13376506,13376506
Charles Shyer,13395939,13395939
John Boorman,13491653,13491653
Gregory Poirier,13558739,13558739
Jesse Vaughan,13571817,13571817
Mark Herman,6812790.5,13625581
Tuck Tucker,13684949,13684949
David Palmer,13746550,13746550
Miguel Sapochnik,13763130,13763130
Saul Dibb,13823741,13823741
Andrew Morahan,13829734,13829734
Brendan Malloy,13903262,13903262
Jessy Terrero,13922211,13922211
Lionel C. Martin,13960203,13960203
Richard Shepard,4655082.333,13965247
Mark Mylod,13987482,13987482
Michael Gornick,14000000,14000000
Uli Edel,7016129,14032258
Ringo Lam,14095303,14095303
Gary Sherman,14114488,14114488
Harmony Korine,14123773,14123773
Tom Green,14249005,14249005
James Mather,14291570,14291570
Wych Kaosayananda,14294842,14294842
Nick Hamm,14334645,14334645
Rob Hedden,14343976,14343976
Franco Zeffirelli,14348123,14348123
Joby Harold,14373825,14373825
Elaine May,14375181,14375181
