Director,Title,Score,Gross,Movie_Likes,id
Woody Allen,Scoop ,6.7,10515579,0,root WoodyAllen Scoop 
Woody Allen,Radio Days ,7.6,14792779,0,root WoodyAllen RadioDays 
Woody Allen,New York Stories ,6.4,10763469,877,root WoodyAllen NewYorkStories 
Woody Allen,Midnight in Paris ,7.7,56816662,78000,root WoodyAllen MidnightinParis 
Woody Allen,Match Point ,7.7,23089926,0,root WoodyAllen MatchPoint 
Woody Allen,Hollywood Ending ,6.6,4839383,762,root WoodyAllen HollywoodEnding 
Woody Allen,Everyone Says I Love You ,6.8,9714482,0,root WoodyAllen EveryoneSaysILoveYou 
Woody Allen,Deconstructing Harry ,7.4,10569071,0,root WoodyAllen DeconstructingHarry 
Woody Allen,Celebrity ,6.3,5032496,652,root WoodyAllen Celebrity 
Woody Allen,Bullets Over Broadway ,7.5,13383737,979,root WoodyAllen BulletsOverBroadway 
Woody Allen,Blue Jasmine ,7.3,33404871,36000,root WoodyAllen BlueJasmine 
Woody Allen,Anything Else ,6.4,3203044,827,root WoodyAllen AnythingElse 
Woody Allen,Annie Hall ,8.1,39200000,0,root WoodyAllen AnnieHall 
Wolfgang Petersen,Troy ,7.2,133228348,0,root WolfgangPetersen Troy 
Wolfgang Petersen,The Perfect Storm ,6.4,182618434,0,root WolfgangPetersen ThePerfectStorm 
Wolfgang Petersen,Poseidon ,5.6,60655503,0,root WolfgangPetersen Poseidon 
Wolfgang Petersen,Outbreak ,6.6,67823573,0,root WolfgangPetersen Outbreak 
Wolfgang Petersen,Das Boot ,8.4,11433134,11000,root WolfgangPetersen DasBoot 
Wolfgang Petersen,Air Force One ,6.4,172620724,0,root WolfgangPetersen AirForceOne 
Wolfgang Becker,Good Bye Lenin! ,7.7,4063859,11000,root WolfgangBecker GoodByeLenin! 
Wilson Yip,Ip Man 3 ,7.2,2126511,12000,root WilsonYip IpMan3 
William Wyler,The Best Years of Our Lives ,8.1,23650000,0,root WilliamWyler TheBestYearsofOurLives 
William Shatner,Star Trek V: The Final Frontier ,5.4,55210049,0,root WilliamShatner StarTrekV:TheFinalFrontier 
William Malone,House on Haunted Hill ,5.6,40846082,0,root WilliamMalone HouseonHauntedHill 
William Malone,Feardotcom ,3.3,13208023,612,root WilliamMalone Feardotcom 
William H. Macy,Rudderless ,7.5,37440,0,root WilliamH.Macy Rudderless 
William Friedkin,The Hunted ,6,34238611,0,root WilliamFriedkin TheHunted 
William Friedkin,The Exorcist ,8,204565000,18000,root WilliamFriedkin TheExorcist 
William Friedkin,Killer Joe ,6.7,1987762,12000,root WilliamFriedkin KillerJoe 
William Friedkin,Jade ,5.1,9795017,422,root WilliamFriedkin Jade 
William Dear,The Perfect Game ,7,1089445,0,root WilliamDear ThePerfectGame 
William Dear,Free Style ,4.2,140987,58,root WilliamDear FreeStyle 
William Cottrell,Snow White and the Seven Dwarfs ,7.7,184925485,0,root WilliamCottrell SnowWhiteandtheSevenDwarfs 
William Brent Bell,The Devil Inside ,4.2,53245055,12000,root WilliamBrentBell TheDevilInside 
William Brent Bell,The Boy ,6,35794166,20000,root WilliamBrentBell TheBoy 
William Brent Bell,Stay Alive ,5.1,23078294,0,root WilliamBrentBell StayAlive 
William Bindley,Madison ,6.5,508867,282,root WilliamBindley Madison 
William Arntz,What the #$*! Do We (K)now!? ,5.4,10941801,2000,root WilliamArntz Whatthe#$*!DoWe(K)now!? 
William A. Graham,Return to the Blue Lagoon ,5.1,2807854,967,root WilliamA.Graham ReturntotheBlueLagoon 
William A. Fraker,The Legend of the Lone Ranger ,5,8000000,346,root WilliamA.Fraker TheLegendoftheLoneRanger 
Willard Huyck,Howard the Duck ,4.6,16295774,0,root WillardHuyck HowardtheDuck 
Will Gluck,Friends with Benefits ,6.6,55802754,41000,root WillGluck FriendswithBenefits 
Will Gluck,Easy A ,7.1,58401464,19000,root WillGluck EasyA 
Will Gluck,Annie ,5.2,85911262,16000,root WillGluck Annie 
Will Finn,Legends of Oz: Dorothy's Return ,5.6,8460990,5000,root WillFinn LegendsofOz:Dorothy'sReturn 
Will Finn,Home on the Range ,5.4,50026353,304,root WillFinn HomeontheRange 
Wil Shriner,Hoot ,5.6,8080116,647,root WilShriner Hoot 
Whit Stillman,Metropolitan ,7.5,2938208,865,root WhitStillman Metropolitan 
Whit Stillman,Damsels in Distress ,5.7,1007535,0,root WhitStillman DamselsinDistress 
Wes Craven,Vampire in Brooklyn ,4.5,19900000,1000,root WesCraven VampireinBrooklyn 
Wes Craven,Scream 4 ,6.2,38176892,26000,root WesCraven Scream4 
Wes Craven,Scream 3 ,5.5,89138076,0,root WesCraven Scream3 
Wes Craven,Scream 2 ,6.1,101334374,0,root WesCraven Scream2 
Wes Craven,Scream ,7.2,103001286,11000,root WesCraven Scream 
Wes Craven,Red Eye ,6.5,57859105,0,root WesCraven RedEye 
Wes Craven,New Nightmare ,6.4,18090181,0,root WesCraven NewNightmare 
Wes Craven,My Soul to Take ,4.8,29274980,0,root WesCraven MySoultoTake 
Wes Craven,Cursed ,5,19294901,0,root WesCraven Cursed 
Wes Craven,A Nightmare on Elm Street ,7.5,53010000,20000,root WesCraven ANightmareonElmStreet 
Wes Ball,The Scorch Trials ,6.4,81687587,24000,root WesBall TheScorchTrials 
Wes Ball,The Maze Runner ,6.8,102413606,38000,root WesBall TheMazeRunner 
Wes Anderson,The Royal Tenenbaums ,7.6,52353636,0,root WesAnderson TheRoyalTenenbaums 
Wes Anderson,The Life Aquatic with Steve Zissou ,7.3,24006726,0,root WesAnderson TheLifeAquaticwithSteveZissou 
Wes Anderson,The Grand Budapest Hotel ,8.1,59073773,149000,root WesAnderson TheGrandBudapestHotel 
Wes Anderson,Rushmore ,7.7,17096053,5000,root WesAnderson Rushmore 
Wes Anderson,Moonrise Kingdom ,7.8,45507053,71000,root WesAnderson MoonriseKingdom 
Wes Anderson,Fantastic Mr. Fox ,7.8,20999103,15000,root WesAnderson FantasticMr.Fox 
Wes Anderson,Bottle Rocket ,7.1,1040879,0,root WesAnderson BottleRocket 
Werner Herzog,Rescue Dawn ,7.3,5484375,0,root WernerHerzog RescueDawn 
Werner Herzog,Bad Lieutenant: Port of Call New Orleans ,6.7,1697956,6000,root WernerHerzog BadLieutenant:PortofCallNewOrleans 
Wayne Wang,Snow Flower and the Secret Fan ,6.1,1346503,0,root WayneWang SnowFlowerandtheSecretFan 
Wayne Wang,Maid in Manhattan ,5.1,93815117,0,root WayneWang MaidinManhattan 
Wayne Wang,Last Holiday ,6.4,38360195,0,root WayneWang LastHoliday 
Wayne Wang,Because of Winn-Dixie ,6.4,32645546,1000,root WayneWang BecauseofWinn-Dixie 
Wayne Wang,Anywhere But Here ,6.1,18653615,638,root WayneWang AnywhereButHere 
Wayne Kramer,The Cooler ,7,8243880,762,root WayneKramer TheCooler 
Wayne Kramer,Running Scared ,7.4,6855137,0,root WayneKramer RunningScared 
Wayne Beach,Slow Burn ,5.9,1181197,191,root WayneBeach SlowBurn 
Warren P. Sonoda,The Masked Saint ,4.7,123777,0,root WarrenP.Sonoda TheMaskedSaint 
Warren Beatty,Dick Tracy ,6.1,103738726,2000,root WarrenBeatty DickTracy 
Warren Beatty,Bulworth ,6.8,26525834,0,root WarrenBeatty Bulworth 
Walter Salles,On the Road ,6.1,717753,27000,root WalterSalles OntheRoad 
Walter Salles,Dark Water ,5.6,25472967,0,root WalterSalles DarkWater 
Walter Salles,Central Station ,8,5595428,0,root WalterSalles CentralStation 
Walter Hill,Undisputed ,6.1,12398628,977,root WalterHill Undisputed 
Walter Hill,Supernova ,4.8,14218868,589,root WalterHill Supernova 
Walter Hill,Bullet to the Head ,5.7,9483821,10000,root WalterHill BullettotheHead 
Walt Becker,Wild Hogs ,5.9,168213584,0,root WaltBecker WildHogs 
Walt Becker,Van Wilder: Party Liaison ,6.4,21005329,0,root WaltBecker VanWilder:PartyLiaison 
Walt Becker,Old Dogs ,5.4,49474048,0,root WaltBecker OldDogs 
Walt Becker,Alvin and the Chipmunks: The Road Chip ,5,85884815,0,root WaltBecker AlvinandtheChipmunks:TheRoadChip 
Wally Pfister,Transcendence ,6.3,23014504,37000,root WallyPfister Transcendence 
Wallace Wolodarsky,Sorority Boys ,5.4,10198766,507,root WallaceWolodarsky SororityBoys 
Vondie Curtis-Hall,Glitter ,2.1,4273372,0,root VondieCurtis-Hall Glitter 
Vivek Agnihotri,Chocolate: Deep Dark Secrets ,4.8,49000,31,root VivekAgnihotri Chocolate:DeepDarkSecrets 
Vipul Amrutlal Shah,Namastey London ,7.3,1207007,341,root VipulAmrutlalShah NamasteyLondon 
Vincenzo Natali,Splice ,5.8,16999046,12000,root VincenzoNatali Splice 
Vincenzo Natali,Cube ,7.3,489220,11000,root VincenzoNatali Cube 
Vincente Minnelli,The Pirate ,7.1,2956000,359,root VincenteMinnelli ThePirate 
Vincent Ward,What Dreams May Come ,7,55350897,32000,root VincentWard WhatDreamsMayCome 
Vincent Paronnaud,Persepolis ,8,4443403,14000,root VincentParonnaud Persepolis 
Vincent Gallo,The Brown Bunny ,5,365734,952,root VincentGallo TheBrownBunny 
Vincent Gallo,Buffalo '66 ,7.5,2365931,0,root VincentGallo Buffalo'66 
Victor Salva,Peaceful Warrior ,7.3,1055654,0,root VictorSalva PeacefulWarrior 
Victor Salva,Jeepers Creepers II ,5.6,35143332,0,root VictorSalva JeepersCreepersII 
Victor Salva,Jeepers Creepers ,6.1,37470017,0,root VictorSalva JeepersCreepers 
Victor Nunez,Ulee's Gold ,7.1,9054736,381,root VictorNunez Ulee'sGold 
Victor Nunez,Ruby in Paradise ,7.2,1001437,81,root VictorNunez RubyinParadise 
Victor Fleming,The Wizard of Oz ,8.1,22202612,14000,root VictorFleming TheWizardofOz 
Victor Fleming,Gone with the Wind ,8.2,198655278,16000,root VictorFleming GonewiththeWind 
Vicky Jenson,Post Grad ,5.3,6373693,0,root VickyJenson PostGrad 
Vicente Amorim,Good ,6.2,23091,921,root VicenteAmorim Good 
Vic Armstrong,Left Behind ,3.1,27996564,62000,root VicArmstrong LeftBehind 
Vera Farmiga,Higher Ground ,6.3,841206,952,root VeraFarmiga HigherGround 
Vadim Perelman,The Life Before Her Eyes ,6.4,303439,1000,root VadimPerelman TheLifeBeforeHerEyes 
Vadim Perelman,House of Sand and Fog ,7.6,13005485,0,root VadimPerelman HouseofSandandFog 
Uwe Boll,In the Name of the King: A Dungeon Siege Tale ,3.8,4535117,0,root UweBoll IntheNameoftheKing:ADungeonSiegeTale 
Uwe Boll,BloodRayne ,2.9,1550000,937,root UweBoll BloodRayne 
Uwe Boll,Alone in the Dark ,2.3,5132655,1000,root UweBoll AloneintheDark 
Ulu Grosbard,The Deep End of the Ocean ,6.3,13376506,579,root UluGrosbard TheDeepEndoftheOcean 
Uli Edel,The Little Vampire ,5.7,13555988,0,root UliEdel TheLittleVampire 
Uli Edel,The Baader Meinhof Complex ,7.4,476270,0,root UliEdel TheBaaderMeinhofComplex 
Udayan Prasad,The Yellow Handkerchief ,6.8,317040,1000,root UdayanPrasad TheYellowHandkerchief 
U. Roberto Romano,The Harvest/La Cosecha ,7.2,2245,88,root U.RobertoRomano TheHarvest/LaCosecha 
Tyler Perry,Why Did I Get Married? ,5.6,55184721,1000,root TylerPerry WhyDidIGetMarried? 
Tyler Perry,Why Did I Get Married Too? ,4.4,60072596,0,root TylerPerry WhyDidIGetMarriedToo? 
Tyler Perry,Madea's Witness Protection ,4.8,65623128,0,root TylerPerry Madea'sWitnessProtection 
Tyler Perry,Madea's Family Reunion ,5,63231524,676,root TylerPerry Madea'sFamilyReunion 
Tyler Perry,Madea Goes to Jail ,4.1,90485233,804,root TylerPerry MadeaGoestoJail 
Tyler Perry,I Can Do Bad All by Myself ,4.1,51697449,1000,root TylerPerry ICanDoBadAllbyMyself 
Tyler Perry,Good Deeds ,5.4,35010192,0,root TylerPerry GoodDeeds 
Tyler Perry,For Colored Girls ,6,37721949,0,root TylerPerry ForColoredGirls 
Tyler Perry,A Madea Christmas ,4.7,52528330,0,root TylerPerry AMadeaChristmas 
Tuck Tucker,Hey Arnold! The Movie ,5.9,13684949,227,root TuckTucker HeyArnold!TheMovie 
Troy Nixey,Don't Be Afraid of the Dark ,5.6,24042490,10000,root TroyNixey Don'tBeAfraidoftheDark 
Troy Miller,Dumb and Dumberer: When Harry Met Lloyd ,3.4,26096584,1000,root TroyMiller DumbandDumberer:WhenHarryMetLloyd 
Troy Duffy,The Boondock Saints II: All Saints Day ,6.3,10269307,0,root TroyDuffy TheBoondockSaintsII:AllSaintsDay 
Trey Parker,Team America: World Police ,7.2,32774834,0,root TreyParker TeamAmerica:WorldPolice 
Trey Parker,South Park: Bigger Longer & Uncut ,7.8,52008288,0,root TreyParker SouthPark:BiggerLonger&Uncut 
Trey Parker,Orgazmo ,6.2,582024,0,root TreyParker Orgazmo 
Trent Cooper,Larry the Cable Guy: Health Inspector ,3.1,15655665,110,root TrentCooper LarrytheCableGuy:HealthInspector 
Travis Cluff,The Gallows ,4.2,22757819,0,root TravisCluff TheGallows 
Tony Scott,Unstoppable ,6.8,81557479,18000,root TonyScott Unstoppable 
Tony Scott,True Romance ,8,12281500,15000,root TonyScott TrueRomance 
Tony Scott,Top Gun ,6.9,176781728,19000,root TonyScott TopGun 
Tony Scott,The Taking of Pelham 1 2 3 ,6.4,65452312,0,root TonyScott TheTakingofPelham123 
Tony Scott,The Fan ,5.8,18573791,0,root TonyScott TheFan 
Tony Scott,Spy Game ,7,26871,0,root TonyScott SpyGame 
Tony Scott,Man on Fire ,7.7,77862546,14000,root TonyScott ManonFire 
Tony Scott,Enemy of the State ,7.3,111544445,0,root TonyScott EnemyoftheState 
Tony Scott,Domino ,6,10137232,0,root TonyScott Domino 
Tony Scott,Days of Thunder ,5.9,82670733,0,root TonyScott DaysofThunder 
Tony Scott,Crimson Tide ,7.3,91400000,0,root TonyScott CrimsonTide 
Tony Scott,Beverly Hills Cop II ,6.4,153665036,0,root TonyScott BeverlyHillsCopII 
Tony Richardson,The Hotel New Hampshire ,6,5100000,345,root TonyRichardson TheHotelNewHampshire 
Tony Maylam,Split Second ,6.2,5430822,0,root TonyMaylam SplitSecond 
Tony Kaye,Lake of Fire ,8.3,23807,570,root TonyKaye LakeofFire 
Tony Kaye,American History X ,8.6,6712241,35000,root TonyKaye AmericanHistoryX 
Tony Jaa,Ong-bak 2 ,6.2,102055,0,root TonyJaa Ong-bak2 
Tony Goldwyn,Someone Like You... ,6.1,27338033,0,root TonyGoldwyn SomeoneLikeYou... 
Tony Goldwyn,A Walk on the Moon ,6.6,4741987,860,root TonyGoldwyn AWalkontheMoon 
Tony Gilroy,The Bourne Legacy ,6.7,113165635,31000,root TonyGilroy TheBourneLegacy 
Tony Gilroy,Michael Clayton ,7.3,49024969,0,root TonyGilroy MichaelClayton 
Tony Gilroy,Duplicity ,6.2,40559930,0,root TonyGilroy Duplicity 
Tony Bill,Flyboys ,6.6,13082288,2000,root TonyBill Flyboys 
Tony Bancroft,Mulan ,7.5,120618403,12000,root TonyBancroft Mulan 
Tommy Wirkola,Hansel & Gretel: Witch Hunters ,6.1,55682070,45000,root TommyWirkola Hansel&Gretel:WitchHunters 
Tommy Wirkola,Dead Snow ,6.4,41709,23000,root TommyWirkola DeadSnow 
Tommy O'Haver,Get Over It ,5.8,11560259,0,root TommyO'Haver GetOverIt 
Tommy O'Haver,Ella Enchanted ,6.3,22913677,0,root TommyO'Haver EllaEnchanted 
Tommy Lee Wallace,Halloween III: Season of the Witch ,4.6,14400000,0,root TommyLeeWallace HalloweenIII:SeasonoftheWitch 
Tommy Lee Jones,Three Burials ,7.5,5023275,0,root TommyLeeJones ThreeBurials 
Tommy Lee Jones,The Homesman ,6.6,2428883,0,root TommyLeeJones TheHomesman 
Tomm Moore,The Secret of Kells ,7.7,686383,11000,root TommMoore TheSecretofKells 
Tomas Alfredson,Tinker Tailor Soldier Spy ,7.1,24104113,24000,root TomasAlfredson TinkerTailorSoldierSpy 
Tom Vaughan,What Happens in Vegas ,6.1,80276912,0,root TomVaughan WhatHappensinVegas 
Tom Vaughan,Extraordinary Measures ,6.5,11854694,0,root TomVaughan ExtraordinaryMeasures 
Tom Tykwer,The International ,6.5,25450527,0,root TomTykwer TheInternational 
Tom Tykwer,Run Lola Run ,7.8,7267324,0,root TomTykwer RunLolaRun 
Tom Tykwer,Perfume: The Story of a Murderer ,7.5,2208939,26000,root TomTykwer Perfume:TheStoryofaMurderer 
Tom Tykwer,Cloud Atlas ,7.5,27098580,124000,root TomTykwer CloudAtlas 
Tom Tykwer,3 ,6.8,59774,2000,root TomTykwer 3 
Tom Shadyac,The Nutty Professor ,5.6,128769345,960,root TomShadyac TheNuttyProfessor 
Tom Shadyac,Patch Adams ,6.7,135014968,0,root TomShadyac PatchAdams 
Tom Shadyac,Liar Liar ,6.8,181395380,0,root TomShadyac LiarLiar 
Tom Shadyac,Evan Almighty ,5.4,100289690,2000,root TomShadyac EvanAlmighty 
Tom Shadyac,Dragonfly ,6.1,30063805,0,root TomShadyac Dragonfly 
Tom Shadyac,Bruce Almighty ,6.7,242589580,0,root TomShadyac BruceAlmighty 
Tom Shadyac,Ace Ventura: Pet Detective ,6.9,72217000,0,root TomShadyac AceVentura:PetDetective 
Tom Schulman,8 Heads in a Duffel Bag ,5.3,3559990,417,root TomSchulman 8HeadsinaDuffelBag 
Tom Sanchez,The Knife of Don Juan ,7.2,3830,75,root TomSanchez TheKnifeofDonJuan 
Tom Putnam,Burn ,7.5,111300,801,root TomPutnam Burn 
Tom McLoughlin,Jason Lives: Friday the 13th Part VI ,5.9,19472057,0,root TomMcLoughlin JasonLives:Fridaythe13thPartVI 
Tom McGrath,Megamind ,7.3,148337537,13000,root TomMcGrath Megamind 
Tom McCarthy,The Station Agent ,7.7,5739376,0,root TomMcCarthy TheStationAgent 
Tom McCarthy,Spotlight ,8.1,44988180,80000,root TomMcCarthy Spotlight 
Tom Kalin,Savage Grace ,5.9,434417,0,root TomKalin SavageGrace 
Tom Hooper,The King's Speech ,8,138795342,64000,root TomHooper TheKing'sSpeech 
Tom Hooper,The Damned United ,7.6,449558,0,root TomHooper TheDamnedUnited 
Tom Hooper,Les Misérables ,7.6,148775460,144000,root TomHooper LesMisérables 
Tom Holland,Thinner ,5.7,15171475,0,root TomHolland Thinner 
Tom Holland,Child's Play ,6.5,33244684,0,root TomHolland Child'sPlay 
Tom Hanks,That Thing You Do! ,6.9,25809813,0,root TomHanks ThatThingYouDo! 
Tom Hanks,Larry Crowne ,6.1,35565975,0,root TomHanks LarryCrowne 
Tom Green,Freddy Got Fingered ,4.5,14249005,0,root TomGreen FreddyGotFingered 
Tom Gormican,That Awkward Moment ,6.1,26049082,0,root TomGormican ThatAwkwardMoment 
Tom Ford,A Single Man ,7.6,9166863,16000,root TomFord ASingleMan 
Tom Dey,Shanghai Noon ,6.6,56932305,0,root TomDey ShanghaiNoon 
Tom Dey,Marmaduke ,4.2,33643461,0,root TomDey Marmaduke 
Tom Dey,Failure to Launch ,5.6,88658172,2000,root TomDey FailuretoLaunch 
Tom Brady,Bucky Larson: Born to Be a Star ,3.3,2331318,0,root TomBrady BuckyLarson:BorntoBeaStar 
Todd Strauss-Schulson,A Very Harold & Kumar 3D Christmas ,6.3,35033759,21000,root ToddStrauss-Schulson AVeryHarold&Kumar3DChristmas 
Todd Solondz,Welcome to the Dollhouse ,7.5,4771000,0,root ToddSolondz WelcometotheDollhouse 
Todd Solondz,Life During Wartime ,6.5,278821,0,root ToddSolondz LifeDuringWartime 
Todd Solondz,Happiness ,7.8,3000000,0,root ToddSolondz Happiness 
Todd Phillips,The Hangover Part II ,6.5,254455986,56000,root ToddPhillips TheHangoverPartII 
Todd Phillips,The Hangover ,7.8,277313371,24000,root ToddPhillips TheHangover 
Todd Phillips,Starsky & Hutch ,6.1,88200225,0,root ToddPhillips Starsky&Hutch 
Todd Phillips,School for Scoundrels ,5.9,17803796,484,root ToddPhillips SchoolforScoundrels 
Todd Phillips,Road Trip ,6.5,68525609,0,root ToddPhillips RoadTrip 
Todd Phillips,Old School ,7.2,74608545,0,root ToddPhillips OldSchool 
Todd Phillips,Due Date ,6.6,100448498,25000,root ToddPhillips DueDate 
Todd Lincoln,The Apparition ,4.1,4930798,0,root ToddLincoln TheApparition 
Todd Haynes,Velvet Goldmine ,7,1043487,0,root ToddHaynes VelvetGoldmine 
Todd Haynes,I'm Not There. ,7,4001121,0,root ToddHaynes I'mNotThere. 
Todd Haynes,Far from Heaven ,7.4,15854988,0,root ToddHaynes FarfromHeaven 
Todd Graff,Joyful Noise ,5.7,30920167,0,root ToddGraff JoyfulNoise 
Todd Graff,Bandslam ,6.4,5205343,1000,root ToddGraff Bandslam 
Todd Field,Little Children ,7.6,5459824,5000,root ToddField LittleChildren 
Todd Field,In the Bedroom ,7.5,35918429,951,root ToddField IntheBedroom 
Tod Williams,Paranormal Activity 2 ,5.7,84749884,14000,root TodWilliams ParanormalActivity2 
Tobe Hooper,The Texas Chainsaw Massacre 2 ,5.5,8025872,0,root TobeHooper TheTexasChainsawMassacre2 
Tobe Hooper,The Texas Chain Saw Massacre ,7.5,61718000,0,root TobeHooper TheTexasChainSawMassacre 
Tobe Hooper,Poltergeist ,7.4,153200000,22000,root TobeHooper Poltergeist 
Tobe Hooper,Invaders from Mars ,5.5,4884663,902,root TobeHooper InvadersfromMars 
Tina Gordon Chism,Peeples ,5.3,9123834,0,root TinaGordonChism Peeples 
Timur Bekmambetov,Wanted ,6.7,134568845,0,root TimurBekmambetov Wanted 
Timur Bekmambetov,Night Watch ,6.5,1487477,0,root TimurBekmambetov NightWatch 
Timur Bekmambetov,Abraham Lincoln: Vampire Hunter ,5.9,37516013,98000,root TimurBekmambetov AbrahamLincoln:VampireHunter 
Timothy Hines,10 Days in a Madhouse ,7.5,14616,26000,root TimothyHines 10DaysinaMadhouse 
Timothy Björklund,Teacher's Pet ,5.8,6491350,49,root TimothyBjörklund Teacher'sPet 
Tim Story,Think Like a Man Too ,5.7,65182182,3000,root TimStory ThinkLikeaManToo 
Tim Story,Think Like a Man ,6.6,91547205,0,root TimStory ThinkLikeaMan 
Tim Story,Ride Along 2 ,5.9,90835030,0,root TimStory RideAlong2 
Tim Story,Ride Along ,6.2,134141530,0,root TimStory RideAlong 
Tim Story,Fantastic 4: Rise of the Silver Surfer ,5.6,131920333,0,root TimStory Fantastic4:RiseoftheSilverSurfer 
Tim Story,Barbershop ,6.3,75074950,770,root TimStory Barbershop 
Tim Robbins,Dead Man Walking ,7.6,39025000,0,root TimRobbins DeadManWalking 
Tim Robbins,Cradle Will Rock ,6.9,2899970,625,root TimRobbins CradleWillRock 
Tim Miller,Deadpool ,8.1,363024263,117000,root TimMiller Deadpool 
Tim McCanlies,Secondhand Lions ,7.6,41407470,0,root TimMcCanlies SecondhandLions 
Tim McCanlies,"Dancer, Texas Pop. 81 ",6.8,565592,500,"root TimMcCanlies Dancer,TexasPop.81 "
Tim Johnson,Over the Hedge ,6.8,155019340,0,root TimJohnson OvertheHedge 
Tim Johnson,Home ,6.7,532031025,78000,root TimJohnson Home 
Tim Hunter,River's Edge ,7.1,4600000,0,root TimHunter River'sEdge 
Tim Hill,Muppets from Space ,6.2,16290976,619,root TimHill MuppetsfromSpace 
Tim Hill,Max Keeble's Big Move ,5.3,17292381,371,root TimHill MaxKeeble'sBigMove 
Tim Hill,Hop ,5.5,108012170,0,root TimHill Hop 
Tim Hill,Garfield 2 ,5,28424210,470,root TimHill Garfield2 
Tim Hill,Alvin and the Chipmunks ,5.2,217326336,0,root TimHill AlvinandtheChipmunks 
Tim Heidecker,Tim and Eric's Billion Dollar Movie ,5.3,200803,0,root TimHeidecker TimandEric'sBillionDollarMovie 
Tim Fywell,Ice Princess ,6,24381334,901,root TimFywell IcePrincess 
Tim Chambers,The Mighty Macs ,6.5,1889522,797,root TimChambers TheMightyMacs 
Tim Burton,Planet of the Apes ,5.7,360023480,0,root TimBurton PlanetoftheApes 
Tim Burton,Mars Attacks! ,6.3,37754208,0,root TimBurton MarsAttacks! 
Tim Burton,Frankenweenie ,7,35287788,25000,root TimBurton Frankenweenie 
Tim Burton,Edward Scissorhands ,7.9,56362352,16000,root TimBurton EdwardScissorhands 
Tim Burton,Ed Wood ,7.9,5887457,0,root TimBurton EdWood 
Tim Burton,Dark Shadows ,6.2,79711678,82000,root TimBurton DarkShadows 
