Actor,Title,Score,Actor_Likes,Gross,Movie_Likes,idOld,id
Morgan Freeman,Dreamcatcher ,5.5,11000,33685268,4000,MorganFreeman Dreamcatcher ,root MorganFreeman Dreamcatcher 
Morgan Freeman,Dolphin Tale 2 ,6.4,11000,42019483,0,MorganFreeman DolphinTale2 ,root MorganFreeman DolphinTale2 
Morgan Freeman,Dolphin Tale ,6.9,11000,72279690,0,MorganFreeman DolphinTale ,root MorganFreeman DolphinTale 
Morgan Freeman,Deep Impact ,6.1,11000,140459099,0,MorganFreeman DeepImpact ,root MorganFreeman DeepImpact 
Morgan Freeman,Bruce Almighty ,6.7,11000,242589580,0,MorganFreeman BruceAlmighty ,root MorganFreeman BruceAlmighty 
Morgan Freeman,An Unfinished Life ,7,11000,8535575,0,MorganFreeman AnUnfinishedLife ,root MorganFreeman AnUnfinishedLife 
Morgan Freeman,Along Came a Spider ,6.3,11000,74058698,0,MorganFreeman AlongCameaSpider ,root MorganFreeman AlongCameaSpider 
Monique Gabriela Curnen,Finishing the Game: The Search for a New Bruce Lee ,6.2,239,52850,155,MoniqueGabrielaCurnen FinishingtheGame:TheSearchforaNewBruceLee ,root MoniqueGabrielaCurnen FinishingtheGame:TheSearchforaNewBruceLee 
Monica Potter,Head Over Heels ,5.4,878,10397365,613,MonicaPotter HeadOverHeels ,root MonicaPotter HeadOverHeels 
Monica Calhoun,Civil Brand ,5.3,597,243347,86,MonicaCalhoun CivilBrand ,root MonicaCalhoun CivilBrand 
Molly Parker,Men with Brooms ,6,611,4239767,0,MollyParker MenwithBrooms ,root MollyParker MenwithBrooms 
Mo'Nique,"Welcome Home, Roscoe Jenkins ",5.3,940,42168445,464,"Mo'Nique WelcomeHome,RoscoeJenkins ","root Mo'Nique WelcomeHome,RoscoeJenkins "
Mo'Nique,Two Can Play That Game ,6.1,939,22235901,593,Mo'Nique TwoCanPlayThatGame ,root Mo'Nique TwoCanPlayThatGame 
Mo'Nique,Soul Plane ,4.4,939,13922211,0,Mo'Nique SoulPlane ,root Mo'Nique SoulPlane 
Mo'Nique,Precious ,7.3,1879,95073918,24000,Mo'Nique Precious ,root Mo'Nique Precious 
Mo'Nique,Phat Girlz ,3,939,7059537,837,Mo'Nique PhatGirlz ,root Mo'Nique PhatGirlz 
Mo'Nique,Baby Boy ,6.4,939,28734552,1000,Mo'Nique BabyBoy ,root Mo'Nique BabyBoy 
Mo'Nique,3 Strikes ,4,939,9821335,118,Mo'Nique 3Strikes ,root Mo'Nique 3Strikes 
Mitsuo Iwata,Akira ,8.1,6,439162,0,MitsuoIwata Akira ,root MitsuoIwata Akira 
Mitch Pileggi,The X Files: I Want to Believe ,5.9,826,20981633,0,MitchPileggi TheXFiles:IWanttoBelieve ,root MitchPileggi TheXFiles:IWanttoBelieve 
Misha Gabriel Hamilton,This Is It ,7.3,433,71844424,0,MishaGabrielHamilton ThisIsIt ,root MishaGabrielHamilton ThisIsIt 
Miriam Margolyes,Yentl ,6.6,405,30400000,0,MiriamMargolyes Yentl ,root MiriamMargolyes Yentl 
Miriam Margolyes,The Guilt Trip ,5.8,405,37101011,0,MiriamMargolyes TheGuiltTrip ,root MiriamMargolyes TheGuiltTrip 
Miriam Margolyes,Being Julia ,7.1,405,7739049,562,MiriamMargolyes BeingJulia ,root MiriamMargolyes BeingJulia 
Miriam Margolyes,Babe ,6.8,405,66600000,5000,MiriamMargolyes Babe ,root MiriamMargolyes Babe 
Mireille Enos,Sabotage ,5.7,2000,20999936,20000,MireilleEnos Sabotage ,root MireilleEnos Sabotage 
Miranda Richardson,Spider ,6.8,530,1641788,0,MirandaRichardson Spider ,root MirandaRichardson Spider 
Miranda Cosgrove,School of Rock ,7.1,2000,81257845,0,MirandaCosgrove SchoolofRock ,root MirandaCosgrove SchoolofRock 
Miranda Cosgrove,Keeping Up with the Steins ,5.4,2000,4328294,249,MirandaCosgrove KeepingUpwiththeSteins ,root MirandaCosgrove KeepingUpwiththeSteins 
Mira Sorvino,Trade of Innocents ,5.4,978,15059,543,MiraSorvino TradeofInnocents ,root MiraSorvino TradeofInnocents 
Mira Sorvino,The Replacement Killers ,6.1,978,18967571,629,MiraSorvino TheReplacementKillers ,root MiraSorvino TheReplacementKillers 
Mira Sorvino,Summer of Sam ,6.6,978,19283782,0,MiraSorvino SummerofSam ,root MiraSorvino SummerofSam 
Mira Sorvino,Lisa Picard Is Famous ,5.7,978,112521,25,MiraSorvino LisaPicardIsFamous ,root MiraSorvino LisaPicardIsFamous 
Mira Sorvino,At First Sight ,5.9,978,22326247,0,MiraSorvino AtFirstSight ,root MiraSorvino AtFirstSight 
